Name,Link,RecipeType,TotalTimeMin,IsFreezable,Rating,ImageLink
One pot pasta med bønner og soltørrede tomater,https://www.arla.dk/opskrifter/one-pot-pasta-med-bonner-og-soltorrede-tomater/,Hovedret,20,False,78,https://images.arla.com/recordid/0d21682fc04a411790d9ac5e00c4ea36/one-pot-pasta-med-bonner-og-soltorrede-tomater.jpg
Torsk i pakker med kryddersmør,https://www.arla.dk/opskrifter/torsk-i-folie-med-kryddersmor/,Hovedret,45,False,64,https://images.arla.com/recordid/f70b2b980f40474e9023abad0090c690/torsk-i-folie-med-kryddersmor.jpg
Rimmet laks med fennikel- og dildfrø,https://www.arla.dk/opskrifter/rimmet-laks-med-fennikel--og-dildfro/,Forret,60,False,72,https://cdn-rdb.arla.com/Files/arla-dk/1899918097/e4d5cf8a-d9f1-4c2d-bfb3-ce7558166936.jpg
Langtidsstegt kalvefilet og fyldte tomater,https://www.arla.dk/opskrifter/langtidsstegt-kalvefilet-og-fyldte-tomater/,Hovedret,60,False,62,https://cdn-rdb.arla.com/Files/arla-dk/3478043011/9e5feb65-cd04-4634-8a3c-9a7cc696b787.jpg
Kartoffelsalat med røget kylling,https://www.arla.dk/opskrifter/kartoffelsalat-med-roget-kylling/,Hovedret,60,False,64,https://images.arla.com/recordid/b30a984c104e4fedbfd4a6e900ced793/kartoffelsalat-med-roget-kylling.jpg
Mørbrad i sød chilisauce,https://www.arla.dk/opskrifter/morbrad-i-sod-chilisauce/,Hovedret,30,False,78,https://images.arla.com/recordid/5D672D2D-89B8-415B-B52075658C26FC76/morbrad-i-sod-chilisauce.jpg
Jordbær- og banansmoothie,https://www.arla.dk/opskrifter/jordbar--og-banansmoothie/,Unknown,15,False,68,https://cdn-rdb.arla.com/Files/arla-dk/3096607122/a0c41abb-ffcd-40f2-83da-3984d69685e8.jpg
Æblemuffins med kanel,https://www.arla.dk/opskrifter/muffins-med-able-og-kanel/,Unknown,45,False,72,https://images.arla.com/recordid/ddefeada8d574b97ad5aa6e400cdddc3/muffins-med-able-og-kanel.jpg
Fiskesuppe,https://www.arla.dk/opskrifter/fiskesuppe/,Hovedret,0,False,70,https://images.arla.com/recordid/D9B4C3C7-8A0B-4F65-92D3F9C949268A7F/fiskesuppe.jpg
Hindbærmuffins med havregrynscrumble,https://www.arla.dk/opskrifter/hindbarmuffins-med-havregrynscrumble/,Dessert,60,False,70,https://cdn-rdb.arla.com/Files/arla-dk/306582160/f6c57b44-7135-4d9a-8dfa-c1175ee32546.JPG
Sachertorte,https://www.arla.dk/opskrifter/sachertorte/,Unknown,60,False,88,https://images.arla.com/recordid/052cd6f4747f4904b8eaac850106421a/sachertorte.jpg
Kartoffelvafler,https://www.arla.dk/opskrifter/sprode-kartoffelvafler/,Tilbehoer,45,False,66,https://images.arla.com/recordid/7E11D5FA-AF3F-43FA-94DD7BC069DD287A/sprode-kartoffelvafler.jpg
Confiteret hvidløg,https://www.arla.dk/opskrifter/confiteret-hvidlog/,Tilbehoer,60,False,100,https://images.arla.com/recordid/C94B3463-5488-463F-B06D8088832D809A/confiteret-hvidlog.jpg
Nigiri sushi,https://www.arla.dk/opskrifter/nigiri-sushi/,Unknown,60,False,96,https://images.arla.com/recordid/4c0a48efd540498db1f0ac09009e7ad9/nigiri-sushi.jpg
Klatkager,https://www.arla.dk/opskrifter/klatkager1/,Mellemmaaltid,45,False,72,https://images.arla.com/recordid/6052E708-F26C-4F69-9A94568D8766784F/klatkager1.jpg
Rissalat,https://www.arla.dk/opskrifter/rissalat/,Tilbehoer,45,False,70,https://images.arla.com/recordid/73c699115876430e8e98a6e4012f07b2/rissalat.jpg
Napoleonskager,https://www.arla.dk/opskrifter/napoleonskager/,Unknown,0,False,72,https://images.arla.com/recordid/436f9cad9ec44c64bdf3ab8e0074d27d/napoleonskager.jpg
Bøf à la Karoline,https://www.arla.dk/opskrifter/bof-a-la-karoline/,Hovedret,45,False,80,https://cdn-rdb.arla.com/Files/arla-dk/3415905522/8f8c3c8c-7123-459b-af84-19b10533390d.jpg
Spinatboller,https://www.arla.dk/opskrifter/spinatboller/,Unknown,60,True,78,https://images.arla.com/recordid/F5DB3588-AEAA-483B-A7B349548CCAD906/spinatboller.jpg
Trifli med stikkelsbærkompot,https://www.arla.dk/opskrifter/trifli-med-stikkelsbarkompot/,Dessert,60,False,64,https://images.arla.com/recordid/d0a8b1799ca14256990ca6e90146e665/trifli-med-stikkelsbarkompot.jpg
Gluten- og laktosefri kernestykker,https://www.arla.dk/opskrifter/glutenfri-kernestykker/,Unknown,60,True,100,https://images.arla.com/recordid/61E7F61B-870D-4943-912EA9CC1316D82F/glutenfri-kernestykker.jpg
Gastrik,https://www.arla.dk/opskrifter/gastrik/,Unknown,30,False,100,https://images.arla.com/recordid/890EB78E-4A20-4C48-A2B22A6AE712DCBD/gastrik.jpg
Rød pesto,https://www.arla.dk/opskrifter/rod-pesto/,Tilbehoer,10,False,92,https://images.arla.com/recordid/b16388ebea7e48fe862ea6e600350715/rod-pesto.jpg
Stegt blomkål med lune linser,https://www.arla.dk/opskrifter/stegt-blomkal-med-lune-linser/,Hovedret,30,False,74,https://images.arla.com/recordid/e0c01950f6274ac8a7feaaef008b93fc/stegt-blomkal-med-lune-linser.jpg
Cookies med hvid chokolade lakrids og tranebær,https://www.arla.dk/opskrifter/cookies-med-hvid-chokolade-lakrids-og-tranebar/,Unknown,45,True,86,https://cdn-rdb.arla.com/Files/arla-dk/1066626130/c6d3372f-0aa2-4b79-a67d-acc7cf8aee57.jpg
Andebryst med sprød kålsalat,https://www.arla.dk/opskrifter/andebryst-med-sprod-kalsalat-/,Hovedret,45,False,68,https://images.arla.com/recordid/A12682CE-742B-4801-A095FE1DF60EEF0B/andebryst-med-sprod-kalsalat-.jpg
Semidried cherrytomater,https://www.arla.dk/opskrifter/semidried-cherrytomater/,Tilbehoer,60,False,68,https://images.arla.com/recordid/13ca902e5e3449178034a6e500f4b5d7/semidried-cherrytomater.jpg
Varm chokolade,https://www.arla.dk/opskrifter/varm-chokolade/,Unknown,15,False,96,https://cdn-rdb.arla.com/Files/arla-dk/104220270/613aa7c6-8963-4432-9d71-98c357f25ec7.jpg
Salat med kartofler dild og smilende æg,https://www.arla.dk/opskrifter/salat-med-kartofler-dild-og-smilende-ag/,Hovedret,20,False,88,https://cdn-rdb.arla.com/Files/arla-dk/657900738/52ad729d-105f-448c-9cbb-d3ed8e9ea55a.jpg
Salat med ingrid ærter,https://www.arla.dk/opskrifter/salat-med-ingrid-arter/,Tilbehoer,60,False,100,https://images.arla.com/recordid/6678C33A-3722-4718-95F4C88022927EE6/salat-med-ingrid-arter.jpg
Påske cheesecake,https://www.arla.dk/opskrifter/paskecheesecake/,Dessert,60,False,92,https://cdn-rdb.arla.com/Files/arla-dk/122841979/52b15e73-0770-4580-b4c3-a27ea53c55b0.jpg
Kaffeis,https://www.arla.dk/opskrifter/kaffeis/,Dessert,30,False,68,https://images.arla.com/recordid/E2A9C76B-63AA-4994-A5E8D272AE033AD8/kaffeis.jpg
Pulled laks,https://www.arla.dk/opskrifter/pulled-laks/,Hovedret,45,False,74,https://images.arla.com/recordid/5AD337E5-7220-4CFC-92460346F4D32930/pulled-laks.jpg
Stegte kyllingelår med pastasalat,https://www.arla.dk/opskrifter/stegte-kyllingelar-med-pastasalat/,Hovedret,60,False,82,https://cdn-rdb.arla.com/Files/arla-dk/4104820458/5413c0ba-d246-461e-98f3-4da4d64d75a8.jpg
Bouillabaisse,https://www.arla.dk/opskrifter/bouillabaisse/,Hovedret,60,False,100,https://images.arla.com/recordid/D54F894E-12DA-4F7B-B2D36E7B9A042429/bouillabaisse.jpg
